Devices
1000
,,Old Plate - 1 - Force,,,Old Plate - 1 - Moment,,,Old Plate - 1 - CoP,,,NewPlate -2 - Force,,,NewPlate -2 - Moment,,,NewPlate -2 - CoP,,,Imported Analog EMG #1 - Voltage,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8,Pulse
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V
711,3,92.2796,-25.8331,-402.022,33724.2,-52998.9,13215.9,100.169,170.114,0,-49.4718,5.86632,-350.722,-21694,-15305.7,501.203,-460.641,315.855,0,-0.000367254,0.000438131,0.000296795,0.000602032,0.00114842,0.000760059,0.000730882,0.000821024,-0.00319832
711,4,92.4721,-25.7546,-402.165,33777.4,-53142.3,13266.7,99.8593,170.011,0,-49.2692,5.88659,-349.628,-21655.4,-15222,484.782,-460.538,315.938,0,-9.06591e-05,0.000908613,0.000218011,0.000723091,0.00162937,0.00123635,0.000880216,0.0013362,-0.00334
712,0,92.5844,-25.6642,-402.115,33824.3,-53219.2,13329.1,99.6516,169.884,0,-49.0066,5.83364,-348.816,-21610.4,-15170.6,466.417,-460.492,315.954,0,0.000380034,0.00114779,0.000411283,0.00078808,0.00179149,0.0016539,0.00111947,0.00169882,-0.00349553
712,1,92.8176,-25.7079,-402.971,33912.4,-53302.4,13395.9,99.7265,169.844,0,-48.747,5.70692,-347.972,-21560.9,-15152.2,466.177,-460.544,315.962,0,0.000775213,0.0011756,0.000856292,0.000776912,0.00162036,0.00198695,0.00143189,0.00184744,-0.00356948
712,2,93.2401,-25.8847,-404.909,34047.7,-53441.7,13453.6,100.016,169.913,0,-48.5642,5.59625,-346.862,-21504.9,-15145.6,484.365,-460.665,315.999,0,0.000847023,0.00106425,0.00123481,0.000750474,0.00129686,0.00208081,0.00156814,0.00188272,-0.00356493
712,3,93.7534,-26.078,-407.052,34187.8,-53620.6,13494,100.271,170.011,0,-48.46,5.59148,-345.642,-21443.3,-15129.4,500.48,-460.772,316.039,0,0.000601112,0.00082678,0.00125209,0.000800927,0.000962601,0.00182217,0.00133056,0.00185259,-0.00352494
712,4,94.253,-26.2199,-408.534,34294.7,-53793.7,13514.4,100.325,170.054,0,-48.3551,5.67369,-344.646,-21388.4,-15092.3,494.78,-460.791,316.059,0,0.000313117,0.000540085,0.000908318,0.000923848,0.000664449,0.0012903,0.000820993,0.00170372,-0.00346769
713,0,94.7242,-26.3364,-409.427,34377.6,-53944,13513.8,100.245,170.035,0,-48.1773,5.72118,-343.972,-21349.7,-15031.8,468.928,-460.701,316.068,0,0.000262504,0.000397674,0.000427568,0.00101027,0.000443481,0.000690035,0.000310795,0.00143568,-0.0034098
713,1,95.1638,-26.4396,-410.441,34471.4,-54092,13499.8,100.21,170.014,0,-47.9529,5.63821,-343.367,-21315.7,-14954.9,444.521,-460.554,316.079,0,0.000432313,0.000499982,4.57226e-05,0.000980304,0.000334789,0.000184411,-8.16817e-05,0.0011598,-0.00338866
713,2,95.5141,-26.4752,-411.972,34586,-54263.7,13496.8,100.283,170.048,0,-47.7881,5.46145,-342.51,-21266.2,-14876.7,440.443,-460.434,316.089,0,0.000537718,0.000687803,-8.83922e-05,0.000848865,0.000284189,-0.000181794,-0.000452788,0.000946409,-0.00341047
713,3,95.7489,-26.4237,-413.737,34698,-54462.2,13536.3,100.365,170.135,0,-47.7515,5.31931,-341.32,-21200.4,-14807.7,453.608,-460.384,316.113,0,0.000366396,0.000710362,5.50468e-05,0.000631821,0.00017992,-0.000454131,-0.000847078,0.000710053,-0.00342492
713,4,95.9663,-26.3861,-415.248,34785.6,-54661.1,13628.7,100.365,170.229,0,-47.7839,5.29476,-339.974,-21135.5,-14747.4,465.345,-460.378,316.168,0,1.25347e-05,0.00050816,0.000348551,0.000281857,1.57718e-05,-0.000683228,-0.00107831,0.000342258,-0.0033952
714,0,96.3191,-26.4908,-416.375,34854.9,-54829.4,13746.2,100.317,170.29,0,-47.7516,5.35096,-338.698,-21077.9,-14695.3,464.644,-460.388,316.232,0,-0.000252217,0.000233492,0.000567688,-0.000190641,-5.19659e-05,-0.000802669,-0.000925802,-7.86259e-05,-0.00334511
714,1,96.8525,-26.7311,-417.403,34933.2,-54971.4,13840.2,100.301,170.308,0,-47.5911,5.39044,-337.589,-21013.5,-14659.3,458.996,-460.424,316.246,0,-0.000270372,4.32522e-05,0.000572466,-0.000581124,0.000116757,-0.000607724,-0.000432929,-0.000311954,-0.00329973
714,2,97.4492,-26.9616,-418.732,35043.8,-55127.1,13879.5,100.347,170.31,0,-47.3708,5.36167,-336.613,-20930.6,-14645.4,461.489,-460.508,316.18,0,-0.000125936,-2.14236e-05,0.000419785,-0.000608359,0.000458487,1.14533e-05,0.000116927,-0.000205139,-0.00324054
714,3,97.935,-27.0615,-420.531,35178.8,-55319.6,13875.5,100.453,170.347,0,-47.1953,5.29475,-335.701,-20840.6,-14643.4,472.602,-460.621,316.081,0,-1.98699e-05,1.90527e-05,0.000284551,-0.000216528,0.000778547,0.000794269,0.000489626,0.000151226,-0.00317227
714,4,98.2167,-27.0419,-422.527,35297.3,-55520.8,13870.3,100.598,170.462,0,-47.0836,5.24793,-334.813,-20767.2,-14631.8,478.299,-460.701,316.026,0,-4.82593e-05,0.000141153,0.000298684,0.000320379,0.000972437,0.00125141,0.000656527,0.00053869,-0.00317135
715,0,98.3309,-26.9818,-424.143,35369.4,-55692.4,13899.8,100.694,170.61,0,-46.9731,5.23858,-333.964,-20718.5,-14597.9,465.72,-460.711,316.038,0,-0.000118011,0.000305838,0.000467314,0.000664436,0.00108795,0.00119571,0.000711829,0.000818245,-0.00328519
715,1,98.407,-26.9337,-425.059,35421.4,-55834.2,13965.7,100.644,170.667,0,-46.8182,5.23263,-333.172,-20675.6,-14548,439.472,-460.665,316.057,0,-0.000107384,0.000461561,0.000703494,0.000741133,0.00119186,0.000976801,0.000777318,0.00100217,-0.00342122
715,2,98.5983,-26.9354,-425.618,35508.1,-55965.8,14039.9,100.507,170.573,0,-46.6455,5.19399,-332.391,-20613.1,-14495,419.864,-460.608,316.015,0,-6.87805e-05,0.000585405,0.00091524,0.000743467,0.00126918,0.00103334,0.00095886,0.00118406,-0.00343366
715,3,98.9913,-27.0423,-426.464,35639.2,-56086.4,14093,100.485,170.431,0,-46.5145,5.12761,-331.516,-20523.4,-14441.4,421.781,-460.562,315.908,0,-0.000160696,0.000686628,0.00104194,0.000852695,0.00127322,0.00135519,0.00123878,0.00142835,-0.00331996
715,4,99.5247,-27.2602,-427.814,35768.2,-56191.6,14117.8,100.654,170.393,0,-46.4462,5.06407,-330.519,-20421.5,-14380.1,436.684,-460.508,315.786,0,-0.000375779,0.000761056,0.00101691,0.00104004,0.00121252,0.0015948,0.00141631,0.00168336,-0.00324264
716,0,100.012,-27.478,-429.315,35862.7,-56309.7,14131.1,100.838,170.465,0,-46.3936,5.01536,-329.552,-20327.7,-14312.8,440.713,-460.431,315.683,0,-0.000481158,0.00077398,0.000772752,0.00114989,0.00113511,0.00158706,0.00130659,0.00179129,-0.00333167
716,1,100.309,-27.5561,-430.601,35944.3,-56478,14156.3,100.839,170.525,0,-46.2795,4.96092,-328.821,-20254.8,-14256.1,421.345,-460.355,315.598,0,-0.000291536,0.000710132,0.00035783,0.00110278,0.00103651,0.00146892,0.00100216,0.00163587,-0.00353306
716,2,100.469,-27.4953,-431.69,36036.2,-56684.5,14203.9,100.691,170.523,0,-46.0707,4.86963,-328.32,-20204.9,-14225.8,391.57,-460.329,315.54,0,9.9724e-05,0.000624212,-5.23774e-06,0.00095277,0.000842345,0.00131474,0.000780958,0.00128247,-0.00368169
716,3,100.699,-27.4502,-432.768,36114.9,-56869.5,14266.3,100.591,170.549,0,-45.8218,4.72848,-327.792,-20167,-14218.6,376.015,-460.377,315.524,0,0.000417822,0.00059546,-9.40134e-05,0.000763126,0.000515377,0.000985445,0.000729849,0.000909491,-0.00366014
716,4,101.125,-27.5465,-433.888,36149.4,-56995.2,14330.1,100.641,170.685,0,-45.6306,4.56048,-327.021,-20119,-14217.8,385.678,-460.477,315.522,0,0.000465243,0.000607563,6.82759e-05,0.00051224,0.000136204,0.000456139,0.000621718,0.000605094,-0.00345552
717,0,101.637,-27.7333,-435.044,36167.6,-57090.5,14389.4,100.771,170.865,0,-45.5439,4.41556,-326.107,-20042.4,-14210.7,408.051,-460.577,315.46,0,0.000252973,0.000527503,0.000213665,0.000179848,-0.000172278,2.74283e-05,0.000242533,0.000318782,-0.00314478
717,1,101.986,-27.8622,-436.373,36237.1,-57214.1,14446.2,100.887,170.958,0,-45.5165,4.32513,-325.331,-19938.2,-14193.3,421.167,-460.627,315.286,0,-6.34382e-05,0.000278248,8.38029e-05,-0.000129173,-0.000363775,-4.18142e-08,-0.000289683,2.45474e-05,-0.00289209
717,2,102.071,-27.8836,-437.998,36377.4,-57393.3,14497.5,100.964,170.946,0,-45.4666,4.26512,-324.766,-19825.5,-14159.8,415.292,-460.6,315.045,0,-0.000332283,1.95171e-07,-0.000353064,-0.000241867,-0.00044686,0.000282494,-0.000641267,-0.000175408,-0.00288019
